timestamp,route_id,travel_seconds,travel_minutes
2026-06-10 19:33:40,196,60,1.0
2026-06-10 19:33:40,106,41,0.68
2026-06-10 19:33:40,22,91,1.52
2026-06-10 19:33:40,70,240,4.0
2026-06-10 19:33:40,20,180,3.0
2026-06-10 19:33:40,102,142,2.37
2026-06-10 19:33:40,747,203,3.38
2026-06-10 19:33:40,136,17,0.28
2026-06-10 19:33:40,70,240,4.0
2026-06-10 19:33:40,164,108,1.8
2026-06-10 19:33:40,128,60,1.0
2026-06-10 19:33:40,71,41,0.68
2026-06-10 19:33:40,127,49,0.82
2026-06-10 19:33:40,44,70,1.17
2026-06-10 19:33:40,129,71,1.18
2026-06-10 19:33:40,67,51,0.85
2026-06-10 19:33:40,99,100,1.67
2026-06-10 19:33:40,140,133,2.22
2026-06-10 19:33:40,180,122,2.03
2026-06-10 19:33:40,47,99,1.65
2026-06-10 19:33:40,47,101,1.68
2026-06-10 19:33:40,28,40,0.67
2026-06-10 19:33:40,51,47,0.78
2026-06-10 19:33:40,211,1020,17.0
2026-06-10 19:33:40,162,120,2.0
2026-06-10 19:33:40,80,105,1.75
2026-06-10 19:33:40,10,61,1.02
2026-06-10 19:33:40,777,240,4.0
2026-06-10 19:33:40,104,21,0.35
2026-06-10 19:33:40,208,71,1.18
2026-06-10 19:33:40,127,110,1.83
2026-06-10 19:33:40,180,106,1.77
2026-06-10 19:33:40,230,50,0.83
2026-06-10 19:33:40,48,47,0.78
2026-06-10 19:33:40,104,55,0.92
2026-06-10 19:33:40,44,70,1.17
2026-06-10 19:33:40,491,73,1.22
2026-06-10 19:33:40,215,131,2.18
2026-06-10 19:33:40,171,74,1.23
2026-06-10 19:33:40,51,67,1.12
2026-06-10 19:33:40,90,75,1.25
2026-06-10 19:33:40,54,32,0.53
2026-06-10 19:33:40,18,91,1.52
2026-06-10 19:33:40,138,69,1.15
2026-06-10 19:33:40,141,54,0.9
2026-06-10 19:33:40,16,119,1.98
2026-06-10 19:33:40,114,62,1.03
2026-06-10 19:33:40,107,20,0.33
2026-06-10 19:33:40,170,76,1.27
2026-06-10 19:33:40,16,15,0.25
2026-06-10 19:33:40,32,57,0.95
2026-06-10 19:33:40,27,46,0.77
2026-06-10 19:33:40,113,46,0.77
2026-06-10 19:33:40,34,71,1.18
2026-06-10 19:33:40,34,42,0.7
2026-06-10 19:33:40,67,55,0.92
2026-06-10 19:33:40,11,14,0.23
2026-06-10 19:33:40,168,52,0.87
2026-06-10 19:33:40,197,45,0.75
2026-06-10 19:33:40,79,84,1.4
2026-06-10 19:33:40,45,26,0.43
2026-06-10 19:33:40,112,71,1.18
2026-06-10 19:33:40,189,83,1.38
2026-06-10 19:33:40,190,33,0.55
2026-06-10 19:33:40,150,59,0.98
2026-06-10 19:33:40,32,69,1.15
2026-06-10 19:33:40,201,42,0.7
2026-06-10 19:33:40,100,10,0.17
2026-06-10 19:33:40,35,73,1.22
2026-06-10 19:33:40,747,203,3.38
2026-06-10 19:33:40,57,67,1.12
2026-06-10 19:33:40,24,52,0.87
2026-06-10 19:33:40,168,67,1.12
2026-06-10 19:33:40,38,360,6.0
2026-06-10 19:33:40,113,46,0.77
2026-06-10 19:33:40,411,75,1.25
2026-06-10 19:33:40,25,51,0.85
2026-06-10 19:33:40,17,78,1.3
2026-06-10 19:33:40,38,81,1.35
2026-06-10 19:33:40,114,33,0.55
2026-06-10 19:33:40,35,75,1.25
2026-06-10 19:33:40,449,463,7.72
2026-06-10 19:33:40,177,49,0.82
2026-06-10 19:33:40,198,109,1.82
2026-06-10 19:33:40,110,32,0.53
2026-06-10 19:33:40,230,184,3.07
2026-06-10 19:33:40,468,60,1.0
2026-06-10 19:33:40,165,37,0.62
2026-06-10 19:33:40,64,102,1.7
2026-06-10 19:33:40,165,69,1.15
2026-06-10 19:33:40,123,25,0.42
2026-06-10 19:33:40,54,43,0.72
2026-06-10 19:33:40,119,101,1.68
2026-06-10 19:33:40,86,33,0.55
2026-06-10 19:33:40,37,92,1.53
2026-06-10 19:33:40,50,183,3.05
